case,model_seed,history,alpha,feature_dim,active_coefficients,validation_h8_mae,selected
multizone_office_simple_air,202608011,16,0.01,219,880,3.6698195125806534,False
multizone_office_simple_air,202608011,24,0.01,323,1296,3.8994361979645538,False
multizone_office_simple_air,202608011,8,0.001,115,464,5.5203389309886184,False
multizone_office_simple_air,202608011,16,0.001,219,880,6.9375015584367627,False
multizone_office_simple_air,202608011,24,0.001,323,1296,8.0188514207421999,False
multizone_office_simple_air,202608011,24,0.0001,323,1296,12.801765912835185,False
multizone_office_simple_air,202608011,16,0.0001,219,880,16.193399408878488,False
multizone_office_simple_air,202608011,8,0.0001,115,464,18.343044929967668,False
multizone_office_simple_air,202608012,8,10000,115,464,0.43008085997624257,True
multizone_office_simple_air,202608012,16,10000,219,880,0.45288254960169533,False
multizone_office_simple_air,202608012,4,10000,63,256,0.45909231651084326,False
multizone_office_simple_air,202608012,4,1000,63,256,0.46626155127737484,False
multizone_office_simple_air,202608012,24,10000,323,1296,0.47114499649838659,False
multizone_office_simple_air,202608012,24,100000,323,1296,0.47809991297226917,False
multizone_office_simple_air,202608012,16,100000,219,880,0.48004649600267812,False
multizone_office_simple_air,202608012,40,100000,531,2128,0.49078294577062864,False
multizone_office_simple_air,202608012,8,1000,115,464,0.49512607520025503,False
multizone_office_simple_air,202608012,8,100000,115,464,0.49566288077411957,False
multizone_office_simple_air,202608012,4,100,63,256,0.49855374909005834,False
multizone_office_simple_air,202608012,16,1000,219,880,0.51834563471717598,False
multizone_office_simple_air,202608012,8,100,115,464,0.53763034429455403,False
multizone_office_simple_air,202608012,4,100000,63,256,0.5451984057594248,False
multizone_office_simple_air,202608012,24,1000,323,1296,0.54817878507641415,False
multizone_office_simple_air,202608012,16,100,219,880,0.55123298912720142,False
multizone_office_simple_air,202608012,40,10000,531,2128,0.56040841527765817,False
multizone_office_simple_air,202608012,4,10,63,256,0.56958018360535134,False
multizone_office_simple_air,202608012,24,100,323,1296,0.57987834209832412,False
multizone_office_simple_air,202608012,24,10,323,1296,0.59080595254162838,False
multizone_office_simple_air,202608012,16,10,219,880,0.63431084418294037,False
multizone_office_simple_air,202608012,40,1000,531,2128,0.64278861361244677,False
multizone_office_simple_air,202608012,24,1,323,1296,0.65611261323078451,False
multizone_office_simple_air,202608012,40,100,531,2128,0.67453636905077219,False
multizone_office_simple_air,202608012,8,10,115,464,0.68124690199509996,False
multizone_office_simple_air,202608012,40,10,531,2128,0.68127255242207729,False
multizone_office_simple_air,202608012,40,0.0001,531,2128,0.68146961120647831,False
multizone_office_simple_air,202608012,40,0.001,531,2128,0.68146961916218662,False
multizone_office_simple_air,202608012,40,0.01,531,2128,0.68146975582473535,False
multizone_office_simple_air,202608012,40,0.10000000000000001,531,2128,0.68147107301267751,False
multizone_office_simple_air,202608012,40,1,531,2128,0.68147971172365285,False
multizone_office_simple_air,202608012,4,1,63,256,0.69652306096442684,False
multizone_office_simple_air,202608012,4,0.10000000000000001,63,256,0.80029031572575104,False
multizone_office_simple_air,202608012,8,1,115,464,0.85761889797553081,False
multizone_office_simple_air,202608012,16,1,219,880,0.92443012274518832,False
multizone_office_simple_air,202608012,8,0.10000000000000001,115,464,1.0055409713384438,False
multizone_office_simple_air,202608012,24,0.10000000000000001,323,1296,1.0448295054819934,False
multizone_office_simple_air,202608012,4,0.01,63,256,1.141272918384669,False
multizone_office_simple_air,202608012,8,0.01,115,464,1.5072488655345295,False
multizone_office_simple_air,202608012,4,0.001,63,256,1.5092804922166569,False
multizone_office_simple_air,202608012,16,0.10000000000000001,219,880,2.06935539964556,False
multizone_office_simple_air,202608012,4,0.0001,63,256,2.1778640187085534,False
multizone_office_simple_air,202608012,24,0.01,323,1296,3.2956389763732261,False
multizone_office_simple_air,202608012,16,0.01,219,880,4.5212977561152012,False
multizone_office_simple_air,202608012,8,0.001,115,464,4.655610683657831,False
multizone_office_simple_air,202608012,24,0.001,323,1296,7.5980725738752906,False
multizone_office_simple_air,202608012,16,0.001,219,880,9.622586387989104,False
multizone_office_simple_air,202608012,24,0.0001,323,1296,14.259263740546606,False
multizone_office_simple_air,202608012,8,0.0001,115,464,16.194008861033115,False
multizone_office_simple_air,202608012,16,0.0001,219,880,23.578069566130658,False
multizone_office_simple_air,202608013,8,10000,115,464,0.43851181266323047,True
multizone_office_simple_air,202608013,4,10000,63,256,0.45966665679065288,False
multizone_office_simple_air,202608013,16,10000,219,880,0.47044101038799457,False
multizone_office_simple_air,202608013,4,1000,63,256,0.4740207435255302,False
multizone_office_simple_air,202608013,16,100000,219,880,0.47801009653764465,False
